"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"1","      National Total","15,553","$0 ","$9,452,532,000 ","$18,121,987 ",1995
"2","Alabama","127","3,664,000","261,093,000","26,404,425",1995
"3","Alaska","54","721,000","386,331,000","22,292,907",1995
"4","Arizona","228","18,000","353,292,000","17,790,697",1995
"5","Arkansas","328","632,000","158,337,000","6,570,229",1995
"6","California","1,082","82,000","3,708,071,000","27,816,576",1995
"7","Colorado","194","152,000","590,916,000","19,413,356",1995
"8","Connecticut","166","532,000","246,576,000","25,615,596",1995
"9","Delaware","19","4,527,000","139,993,000","40,666,789",1995
"10","District of Columbia","1","708,224,000","708,224,000","708,224,000",1995
"11","Florida","67","5,839,000","2,364,342,000","201,104,134",1995
"12","Georgia","196","1,032,000","534,606,000","37,205,444",1995
"13","Hawaii","1","1,157,159,000","1,157,159,000","1,157,159,000",1995
"14","Idaho","112","47,000","126,587,000","9,893,527",1995
"15","Illinois","916","28,000","2,596,657,000","12,906,123",1995
"16","Indiana","313","247,000","351,113,000","20,375,498",1995
"17","Iowa","405","0","198,675,000","7,656,227",1995
"18","Kansas","304","876,000","259,101,000","9,068,099",1995
"19","Kentucky","176","1,129,000","527,190,000","19,348,153",1995
"20","Louisiana","66","7,394,000","399,681,000","56,600,045",1995
"21","Maine","291","0","64,714,000","4,944,326",1995
"22","Maryland","24","19,698,000","1,031,200,000","233,753,167",1995
"23","Massachusetts","426","3,000","566,133,000","15,741,981",1995
"24","Michigan","618","37,000","1,276,506,000","20,190,450",1995
"25","Minnesota","467","0","418,576,000","13,180,565",1995
"26","Mississippi","153","1,624,000","157,596,000","14,118,092",1995
"27","Missouri","529","156,000","428,168,000","9,370,917",1995
"28","Montana","502","2,000","49,101,000","1,792,102",1995
"29","Nebraska","697","2,000","257,276,000","2,689,029",1995
"30","Nevada","17","1,292,000","800,106,000","81,247,059",1995
"31","New Hampshire","176","12,000","76,764,000","7,002,642",1995
"32","New Jersey","616","142,000","568,904,000","19,456,865",1995
"33","New Mexico","89","870,000","431,433,000","17,311,045",1995
"34","New York","712","223,000","9,452,532,000","37,276,639",1995
"35","North Carolina","119","5,739,000","544,563,000","52,251,689",1995
"36","North Dakota","270","30,000","60,707,000","2,303,348",1995
"37","Ohio","740","44,000","515,843,000","15,310,873",1995
"38","Oklahoma","585","182,000","249,588,000","5,437,282",1995
"39","Oregon","279","47,000","354,474,000","11,670,194",1995
"40","Pennsylvania","605","5,000","1,353,311,000","23,364,945",1995
"41","Rhode Island","36","1,725,000","175,417,000","29,409,556",1995
"42","South Carolina","106","478,000","263,670,000","31,006,349",1995
"43","South Dakota","177","131,000","103,846,000","3,920,701",1995
"44","Tennessee","140","94,000","509,267,000","28,278,379",1995
"45","Texas","1,062","10,000","1,068,849,000","19,015,514",1995
"46","Utah","40","1,937,000","331,502,000","51,133,275",1995
"47","Vermont","325","50,000","27,807,000","2,742,726",1995
"48","Virginia","157","146,000","1,058,377,000","41,980,879",1995
"49","Washington","305","165,000","326,237,000","20,330,341",1995
"50","West Virginia","55","6,562,000","192,890,000","35,147,745",1995
"51","Wisconsin","431","574,000","749,937,000","14,053,026",1995
"52","Wyoming","49","782,000","79,720,000","13,121,122",1995
"53","National","15,506","$0 ","$9,477,476,000 ","$19,201,631 ",1996
"54","Alabama","127","4,120,000","287,220,000","28,128,213",1996
"55","Alaska","54","714,000","409,045,000","22,963,537",1996
"56","Arizona","229","8,000","366,169,000","19,177,096",1996
"57","Arkansas","327","576,000","162,630,000","7,025,630",1996
"58","California","1,081","85,000","4,034,260,000","29,196,755",1996
"59","Colorado","195","0","568,776,000","20,898,272",1996
"60","Connecticut","174","0","270,621,000","26,081,805",1996
"61","Delaware","19","5,111,000","151,293,000","43,343,684",1996
"62","District of Columbia","1","703,245,000","703,245,000","703,245,000",1996
"63","Florida","67","6,015,000","2,464,887,000","208,003,582",1996
"64","Georgia","196","1,113,000","577,293,000","40,480,786",1996
"65","Hawaii","1","1,231,550,000","1,231,550,000","1,231,550,000",1996
"66","Idaho","112","51,000","139,238,000","10,698,420",1996
"67","Illinois","907","205,000","2,674,339,000","13,696,913",1996
"68","Indiana","314","256,000","347,071,000","21,159,347",1996
"69","Iowa","399","799,000","209,202,000","8,231,038",1996
"70","Kansas","304","868,000","270,741,000","9,893,595",1996
"71","Kentucky","176","1,177,000","557,368,000","21,741,108",1996
"72","Louisiana","66","7,321,000","404,631,000","57,808,712",1996
"73","Maine","292","0","63,527,000","5,017,442",1996
"74","Maryland","24","20,649,000","1,123,383,000","242,733,583",1996
"75","Massachusetts","413","2,000","662,758,000","18,110,354",1996
"76","Michigan","656","34,000","1,374,703,000","19,926,666",1996
"77","Minnesota","448","0","456,144,000","14,337,685",1996
"78","Mississippi","153","1,648,000","156,880,000","14,828,275",1996
"79","Missouri","525","259,000","404,945,000","10,052,918",1996
"80","Montana","491","5,000","49,539,000","1,882,401",1996
"81","Nebraska","686","2,000","265,861,000","2,829,165",1996
"82","Nevada","17","1,426,000","968,135,000","94,646,412",1996
"83","New Hampshire","176","29,000","78,317,000","7,358,557",1996
"84","New Jersey","615","7,000","579,926,000","20,275,148",1996
"85","New Mexico","89","862,000","440,409,000","18,455,247",1996
"86","New York","710","135,000","9,477,476,000","37,992,273",1996
"87","North Carolina","119","5,987,000","600,681,000","54,765,639",1996
"88","North Dakota","265","33,000","62,556,000","2,482,298",1996
"89","Ohio","741","0","524,212,000","16,107,398",1996
"90","Oklahoma","585","171,000","208,325,000","5,462,267",1996
"91","Oregon","266","49,000","379,017,000","13,194,605",1996
"92","Pennsylvania","605","102,000","1,453,391,000","24,874,035",1996
"93","Rhode Island","36","1,748,000","176,809,000","30,346,083",1996
"94","South Carolina","106","565,000","271,287,000","32,959,623",1996
"95","South Dakota","177","112,000","98,283,000","3,897,277",1996
"96","Tennessee","140","66,000","570,157,000","30,601,293",1996
"97","Texas","1,063","24,000","1,141,288,000","21,074,127",1996
"98","Utah","40","2,038,000","321,835,000","53,767,975",1996
"99","Vermont","325","44,000","30,990,000","3,002,514",1996
"100","Virginia","155","150,000","1,067,069,000","44,537,961",1996
"101","Washington","305","145,000","327,451,000","21,568,485",1996
"102","West Virginia","55","6,938,000","193,581,000","35,215,418",1996
"103","Wisconsin","430","644,000","769,136,000","15,165,251",1996
"104","Wyoming","49","655,000","82,590,000","13,802,143",1996
"105","National","15,679","$0 ","$10,041,575,000 ","$20,145,495 ",1997
"106","Alabama","127","4,152,000","322,818,000","31,209,638",1997
"107","Alaska","53","721,000","390,032,000","23,341,566",1997
"108","Arizona","228","5,000","393,120,000","19,440,175",1997
"109","Arkansas","326","0","166,040,000","7,299,067",1997
"110","California","1,084","60,000","4,019,716,000","31,238,267",1997
"111","Colorado","195","0","535,233,000","22,554,851",1997
"112","Connecticut","174","0","261,641,000","26,682,960",1997
"113","Delaware","19","5,227,000","174,067,000","46,822,684",1997
"114","District of Columbia","1","686,059,000","686,059,000","686,059,000",1997
"115","Florida","67","6,883,000","2,533,475,000","217,384,328",1997
"116","Georgia","196","1,259,000","638,073,000","43,283,046",1997
"117","Hawaii","1","1,241,375,000","1,241,375,000","1,241,375,000",1997
"118","Idaho","112","55,000","166,283,000","11,550,938",1997
"119","Illinois","1,096","0","2,887,795,000","12,701,271",1997
"120","Indiana","315","198,000","400,860,000","23,254,241",1997
"121","Iowa","394","826,000","225,455,000","8,846,038",1997
"122","Kansas","304","858,000","269,485,000","9,702,658",1997
"123","Kentucky","176","1,194,000","614,645,000","22,176,926",1997
"124","Louisiana","66","7,622,000","417,561,000","61,018,606",1997
"125","Maine","292","0","63,029,000","5,231,723",1997
"126","Maryland","24","20,921,000","1,200,830,000","259,046,667",1997
"127","Massachusetts","436","0","650,749,000","17,154,603",1997
"128","Michigan","691","47,000","1,328,308,000","20,601,884",1997
"129","Minnesota","425","4,000","532,269,000","16,213,584",1997
"130","Mississippi","153","1,685,000","173,261,000","15,158,980",1997
"131","Missouri","525","307,000","377,393,000","10,528,962",1997
"132","Montana","490","4,000","52,317,000","1,983,794",1997
"133","Nebraska","674","3,000","268,982,000","2,888,316",1997
"134","Nevada","17","1,581,000","1,249,628,000","112,114,118",1997
"135","New Hampshire","177","36,000","87,413,000","8,087,412",1997
"136","New Jersey","615","8,000","552,921,000","21,531,743",1997
"137","New Mexico","89","1,000,000","483,989,000","20,522,742",1997
"138","New York","707","162,000","10,041,575,000","39,925,829",1997
"139","North Carolina","117","6,077,000","676,890,000","59,894,786",1997
"140","North Dakota","263","45,000","67,104,000","2,584,380",1997
"141","Ohio","736","56,000","579,150,000","16,877,667",1997
"142","Oklahoma","586","149,000","225,473,000","5,786,509",1997
"143","Oregon","243","34,000","437,178,000","15,607,292",1997
"144","Pennsylvania","604","85,000","1,521,278,000","26,121,318",1997
"145","Rhode Island","36","1,914,000","197,310,000","32,656,611",1997
"146","South Carolina","106","571,000","310,146,000","36,994,953",1997
"147","South Dakota","177","107,000","98,157,000","4,017,243",1997
"148","Tennessee","139","1,112,000","598,452,000","33,779,921",1997
"149","Texas","1,062","24,000","1,173,751,000","22,289,087",1997
"150","Utah","40","2,361,000","314,758,000","54,469,450",1997
"151","Vermont","328","37,000","30,035,000","3,260,052",1997
"152","Virginia","154","0","1,189,644,000","48,287,922",1997
"153","Washington","305","109,000","338,787,000","22,269,708",1997
"154","West Virginia","55","7,460,000","201,594,000","36,694,273",1997
"155","Wisconsin","430","599,000","815,836,000","16,256,951",1997
"156","Wyoming","49","755,000","77,984,000","14,186,265",1997
"157","National","15,728","$0 ","$10,799,265,000 ","$21,405,162 ",1998
"158","Alabama","127","4,555,000","349,729,000","33,425,457",1998
"159","Alaska","53","794,000","388,045,000","23,073,453",1998
"160","Arizona","335","2,000","404,187,000","14,384,269",1998
"161","Arkansas","326","687,000","173,617,000","7,779,224",1998
"162","California","1,077","96,000","4,618,160,000","35,364,592",1998
"163","Colorado","195","162,000","613,875,000","24,303,262",1998
"164","Connecticut","184","0","264,529,000","26,192,429",1998
"165","Delaware","20","0","181,056,000","45,760,350",1998
"166","District of Columbia","1","716,740,000","716,740,000","716,740,000",1998
"167","Florida","67","6,176,000","2,501,659,000","226,199,746",1998
"168","Georgia","196","1,210,000","635,429,000","45,871,923",1998
"169","Hawaii","1","1,266,378,000","1,266,378,000","1,266,378,000",1998
"170","Idaho","112","59,000","188,536,000","11,988,563",1998
"171","Illinois","1,046","0","3,446,592,000","14,538,305",1998
"172","Indiana","315","316,000","411,438,000","24,282,867",1998
"173","Iowa","392","884,000","232,287,000","9,311,954",1998
"174","Kansas","304","891,000","290,060,000","10,155,651",1998
"175","Kentucky","176","1,239,000","678,960,000","22,832,455",1998
"176","Louisiana","66","8,494,000","451,291,000","66,360,561",1998
"177","Maine","292","0","65,134,000","5,484,284",1998
"178","Maryland","24","23,817,000","1,202,495,000","271,641,208",1998
"179","Massachusetts","392","0","733,174,000","20,660,000",1998
"180","Michigan","719","8,000","1,345,361,000","20,731,245",1998
"181","Minnesota","445","6,000","525,377,000","15,363,634",1998
"182","Mississippi","152","1,776,000","186,553,000","16,733,250",1998
"183","Missouri","525","384,000","381,947,000","11,142,187",1998
"184","Montana","483","3,000","51,952,000","2,085,188",1998
"185","Nebraska","657","1,000","280,752,000","2,993,003",1998
"186","Nevada","17","1,432,000","1,356,279,000","119,415,588",1998
"187","New Hampshire","177","35,000","91,088,000","8,070,322",1998
"188","New Jersey","615","8,000","597,254,000","22,720,652",1998
"189","New Mexico","89","1,123,000","486,554,000","21,725,146",1998
"190","New York","706","169,000","10,799,265,000","42,439,589",1998
"191","North Carolina","151","109,000","657,885,000","51,069,689",1998
"192","North Dakota","260","41,000","71,895,000","2,750,485",1998
"193","Ohio","727","69,000","542,906,000","17,888,997",1998
"194","Oklahoma","586","122,000","280,623,000","6,173,956",1998
"195","Oregon","220","78,000","462,026,000","17,907,827",1998
"196","Pennsylvania","609","113,000","1,510,785,000","26,987,282",1998
"197","Rhode Island","36","2,047,000","216,712,000","33,932,167",1998
"198","South Carolina","98","608,000","355,325,000","43,277,173",1998
"199","South Dakota","176","142,000","117,244,000","4,439,085",1998
"200","Tennessee","138","1,127,000","660,359,000","36,146,435",1998
"201","Texas","1,080","0","1,231,086,000","23,835,740",1998
"202","Utah","40","2,404,000","368,897,000","58,165,275",1998
"203","Vermont","328","26,000","32,728,000","3,245,085",1998
"204","Virginia","155","169,000","1,259,058,000","50,411,013",1998
"205","Washington","305","118,000","411,155,000","23,644,593",1998
"206","West Virginia","55","8,356,000","218,909,000","38,197,109",1998
"207","Wisconsin","430","618,000","871,670,000","17,516,535",1998
"208","Wyoming","48","1,507,000","80,446,000","14,725,021",1998
"209","National","15,924","$0 ","$11,934,742,000 ","$22,669,334 ",1999
"210","Alabama","128","5,085,000","370,044,000","36,115,703",1999
"211","Alaska","53","684,000","397,391,000","24,339,396",1999
"212","Arizona","360","9,000","429,412,000","14,549,567",1999
"213","Arkansas","325","706,000","197,452,000","8,156,332",1999
"214","California","1,096","4,000","5,022,116,000","37,257,886",1999
"215","Colorado","196","0","659,387,000","25,715,429",1999
"216","Connecticut","187","0","315,605,000","28,242,385",1999
"217","Delaware","20","2,896,000","190,400,000","48,161,550",1999
"218","District of Columbia","1","738,942,000","738,942,000","738,942,000",1999
"219","Florida","67","7,216,000","2,590,752,000","241,146,597",1999
"220","Georgia","196","1,389,000","769,518,000","51,564,643",1999
"221","Hawaii","1","1,357,649,000","1,357,649,000","1,357,649,000",1999
"222","Idaho","112","63,000","180,910,000","12,583,634",1999
"223","Illinois","1,075","0","3,974,772,000","15,612,874",1999
"224","Indiana","315","197,000","418,032,000","26,021,314",1999
"225","Iowa","390","956,000","238,754,000","9,715,510",1999
"226","Kansas","304","920,000","300,312,000","10,492,984",1999
"227","Kentucky","176","1,328,000","737,753,000","24,464,080",1999
"228","Louisiana","66","8,729,000","487,084,000","71,249,939",1999
"229","Maine","293","1,000","72,526,000","5,801,485",1999
"230","Maryland","24","23,529,000","1,258,020,000","287,178,167",1999
"231","Massachusetts","396","0","782,676,000","21,902,624",1999
"232","Michigan","750","18,000","1,481,433,000","21,117,144",1999
"233","Minnesota","454","1,000","648,826,000","16,497,174",1999
"234","Mississippi","152","1,478,000","193,360,000","18,499,026",1999
"235","Missouri","525","0","405,696,000","11,862,859",1999
"236","Montana","481","3,000","54,254,000","2,133,603",1999
"237","Nebraska","622","5,000","278,056,000","3,315,476",1999
"238","Nevada","18","1,019,000","1,593,172,000","127,749,611",1999
"239","New Hampshire","177","32,000","92,994,000","8,426,893",1999
"240","New Jersey","614","17,000","616,379,000","24,311,567",1999
"241","New Mexico","89","1,136,000","521,110,000","23,584,247",1999
"242","New York","706","169,000","11,934,742,000","45,252,551",1999
"243","North Carolina","175","62,000","794,907,000","49,822,994",1999
"244","North Dakota","257","47,000","89,068,000","2,942,946",1999
"245","Ohio","729","73,000","614,322,000","19,024,166",1999
"246","Oklahoma","586","102,000","261,125,000","6,515,099",1999
"247","Oregon","219","89,000","449,582,000","19,052,215",1999
"248","Pennsylvania","637","13,000","1,738,060,000","26,928,942",1999
"249","Rhode Island","36","2,248,000","238,574,000","35,806,806",1999
"250","South Carolina","98","643,000","403,272,000","47,045,265",1999
"251","South Dakota","176","142,000","117,358,000","4,761,807",1999
"252","Tennessee","138","1,270,000","743,879,000","39,467,790",1999
"253","Texas","1,142","21,000","1,328,279,000","24,502,137",1999
"254","Utah","40","2,373,000","381,939,000","61,214,775",1999
"255","Vermont","328","34,000","33,558,000","3,445,067",1999
"256","Virginia","156","0","1,337,097,000","53,435,083",1999
"257","Washington","305","124,000","440,531,000","24,554,521",1999
"258","West Virginia","55","7,960,000","235,345,000","39,444,218",1999
"259","Wisconsin","430","660,000","942,361,000","18,315,826",1999
"260","Wyoming","48","1,333,000","89,950,000","15,396,229",1999
"261","National","15,953","$0 ","$12,342,804,000 ","$24,265,712 ",2000
"262","Alabama","128","5,664,000","401,336,000","39,088,023",2000
"263","Alaska","53","907,000","442,420,000","26,168,000",2000
"264","Arizona","232","4,000","445,259,000","23,263,767",2000
"265","Arkansas","325","722,000","171,336,000","8,256,615",2000
"266","California","1,093","3,000","5,420,500,000","41,930,241",2000
"267","Colorado","195","175,000","782,622,000","27,918,938",2000
"268","Connecticut","181","0","356,688,000","31,033,227",2000
"269","Delaware","24","592,000","192,070,000","43,653,625",2000
"270","District of Columbia","1","858,807,000","858,807,000","858,807,000",2000
"271","Florida","67","6,740,000","2,656,802,000","256,432,149",2000
"272","Georgia","196","1,571,000","846,907,000","55,533,214",2000
"273","Hawaii","1","1,363,511,000","1,363,511,000","1,363,511,000",2000
"274","Idaho","113","66,000","178,720,000","13,043,920",2000
"275","Illinois","1,067","0","3,884,516,000","16,938,322",2000
"276","Indiana","317","274,000","435,436,000","26,872,167",2000
"277","Iowa","390","954,000","262,192,000","10,191,828",2000
"278","Kansas","304","842,000","317,344,000","10,944,375",2000
"279","Kentucky","176","1,254,000","758,643,000","25,630,523",2000
"280","Louisiana","66","8,306,000","521,286,000","72,834,803",2000
"281","Maine","293","7,000","74,685,000","6,287,631",2000
"282","Maryland","24","24,041,000","1,402,217,000","306,487,417",2000
"283","Massachusetts","391","0","796,948,000","24,210,647",2000
"284","Michigan","781","62,000","1,579,543,000","21,229,867",2000
"285","Minnesota","467","0","665,586,000","16,701,642",2000
"286","Mississippi","152","1,695,000","204,472,000","19,713,645",2000
"287","Missouri","524","420,000","453,438,000","12,802,687",2000
"288","Montana","476","4,000","56,188,000","2,209,597",2000
"289","Nebraska","605","3,000","297,304,000","3,579,387",2000
"290","Nevada","17","1,545,000","1,670,203,000","143,662,353",2000
"291","New Hampshire","177","40,000","105,877,000","9,267,768",2000
"292","New Jersey","654","0","620,971,000","24,409,576",2000
"293","New Mexico","89","1,254,000","543,882,000","24,326,191",2000
"294","New York","705","160,000","12,342,804,000","47,931,340",2000
"295","North Carolina","194","30,000","874,312,000","48,198,242",2000
"296","North Dakota","258","48,000","98,365,000","3,111,504",2000
"297","Ohio","772","0","637,748,000","19,370,163",2000
"298","Oklahoma","583","170,000","270,756,000","6,649,864",2000
"299","Oregon","218","22,000","440,654,000","20,175,771",2000
"300","Pennsylvania","652","46,000","1,829,299,000","27,522,043",2000
"301","Rhode Island","36","3,118,000","255,633,000","38,568,167",2000
"302","South Carolina","98","732,000","396,831,000","50,626,449",2000
"303","South Dakota","176","134,000","130,324,000","5,105,733",2000
"304","Tennessee","138","1,494,000","810,806,000","42,066,529",2000
"305","Texas","1,203","3,000","1,547,007,000","26,219,685",2000
"306","Utah","40","2,297,000","359,377,000","61,960,500",2000
"307","Vermont","329","54,000","35,560,000","3,628,611",2000
"308","Virginia","134","3,078,000","1,496,767,000","68,318,478",2000
"309","Washington","305","129,000","489,743,000","25,612,908",2000
"310","West Virginia","55","8,246,000","240,477,000","40,792,055",2000
"311","Wisconsin","430","704,000","1,010,289,000","19,030,816",2000
"312","Wyoming","48","1,533,000","92,171,000","16,040,063",2000
"313","National","16,213","$0 ","$14,468,373,000 ","$25,777,978 ",2001
"314","Alabama","128","5,128,000","409,068,000","39,734,727",2001
"315","Alaska","53","988,000","434,059,000","26,468,660",2001
"316","Arizona","432","0","444,292,000","14,098,632",2001
"317","Arkansas","324","754,000","204,040,000","9,110,114",2001
"318","California","1,092","4,000","6,065,112,000","47,694,634",2001
"319","Colorado","195","229,000","786,341,000","29,374,185",2001
"320","Connecticut","188","0","356,695,000","31,949,707",2001
"321","Delaware","26","800,000","217,508,000","45,908,038",2001
"322","District of Columbia","1","1,026,146,000","1,026,146,000","1,026,146,000",2001
"323","Florida","67","7,473,000","2,920,678,000","274,468,567",2001
"324","Georgia","196","1,576,000","898,469,000","60,478,571",2001
"325","Hawaii","1","1,363,164,000","1,363,164,000","1,363,164,000",2001
"326","Idaho","113","66,000","190,286,000","13,649,690",2001
"327","Illinois","1,055","0","4,015,816,000","18,329,460",2001
"328","Indiana","317","166,000","451,634,000","28,365,543",2001
"329","Iowa","389","944,000","287,835,000","10,826,460",2001
"330","Kansas","304","762,000","334,781,000","11,483,648",2001
"331","Kentucky","176","1,280,000","716,835,000","24,719,250",2001
"332","Louisiana","66","8,883,000","510,232,000","74,846,879",2001
